record_type,project_id,project_name,item_id,item_name,planned_start_date,planned_end_date,actual_or_forecast_date,planned_effort_hours,owner_name,status,acceptance_criteria,classification,synthetic_record
Milestone,P001,LuxHealth Data Platform,M04,User acceptance testing completed,2026-10-17,2026-10-17,2026-10-17,0,Maya Fernandes,Completed,Formal evidence that 'User acceptance testing completed' has been achieved and approved.,PROJECT_MANAGEMENT_RESTRICTED,True
Milestone,P001,LuxHealth Data Platform,M05,Production go-live / final delivery,2026-12-04,2026-12-04,2026-12-04,0,Maya Fernandes,Forecast On Time,Formal evidence that 'Production go-live / final delivery' has been achieved and approved.,PROJECT_MANAGEMENT_RESTRICTED,True
Milestone,P001,LuxHealth Data Platform,M06,Project closure accepted,2026-12-18,2026-12-18,2026-12-21,0,Maya Fernandes,Forecast On Time,Formal evidence that 'Project closure accepted' has been achieved and approved.,PROJECT_MANAGEMENT_RESTRICTED,True
Work Package,P002,Sovereign AI Factory,WP01,Initiation and discovery,2026-02-02,2026-03-12,2026-03-12,771.9,Amina Amar,Completed,Initiation and discovery deliverables reviewed and accepted by the project governance body.,PROJECT_MANAGEMENT_RESTRICTED,True
Work Package,P002,Sovereign AI Factory,WP02,Architecture and detailed design,2026-02-28,2026-05-02,2026-05-02,1279.8,Amina Amar,Completed,Architecture and detailed design deliverables reviewed and accepted by the project governance body.,PROJECT_MANAGEMENT_RESTRICTED,True
Work Package,P002,Sovereign AI Factory,WP03,Build and configuration,2026-04-13,2026-08-19,2026-08-24,2600.2,Amina Amar,Completed,Build and configuration deliverables reviewed and accepted by the project governance body.,PROJECT_MANAGEMENT_RESTRICTED,True
Work Package,P002,Sovereign AI Factory,WP04,"Data, integration and migration",2026-05-09,2026-09-13,2026-09-13,2579.9,Amina Amar,Completed,"Data, integration and migration deliverables reviewed and accepted by the project governance body.",PROJECT_MANAGEMENT_RESTRICTED,True
Work Package,P002,Sovereign AI Factory,WP05,"Testing, validation and remediation",2026-08-12,2026-11-03,2026-10-31,1686.1,Amina Amar,Completed,"Testing, validation and remediation deliverables reviewed and accepted by the project governance body.",PROJECT_MANAGEMENT_RESTRICTED,True
Work Package,P002,Sovereign AI Factory,WP06,"Deployment, transition and closure",2026-10-22,2026-12-18,2026-12-23,1157.9,Amina Amar,In Progress,"Deployment, transition and closure deliverables reviewed and accepted by the project governance body.",PROJECT_MANAGEMENT_RESTRICTED,True
Work Package,P002,Sovereign AI Factory,WP07,Project management and governance,2026-02-02,2026-12-18,2026-12-20,6480.3,Maya Fernandes,In Progress,Project management and governance deliverables reviewed and accepted by the project governance body.,PROJECT_MANAGEMENT_RESTRICTED,True
Milestone,P002,Sovereign AI Factory,M01,Project kickoff,2026-02-08,2026-02-08,2026-02-06,0,Maya Fernandes,Completed,Formal evidence that 'Project kickoff' has been achieved and approved.,PROJECT_MANAGEMENT_RESTRICTED,True
Milestone,P002,Sovereign AI Factory,M02,Design baseline approved,2026-04-23,2026-04-23,2026-05-01,0,Maya Fernandes,Completed,Formal evidence that 'Design baseline approved' has been achieved and approved.,PROJECT_MANAGEMENT_RESTRICTED,True
Milestone,P002,Sovereign AI Factory,M03,Minimum viable release completed,2026-07-27,2026-07-27,2026-07-27,0,Maya Fernandes,Completed,Formal evidence that 'Minimum viable release completed' has been achieved and approved.,PROJECT_MANAGEMENT_RESTRICTED,True
Milestone,P002,Sovereign AI Factory,M04,User acceptance testing completed,2026-10-22,2026-10-22,2026-10-22,0,Maya Fernandes,Completed,Formal evidence that 'User acceptance testing completed' has been achieved and approved.,PROJECT_MANAGEMENT_RESTRICTED,True
Milestone,P002,Sovereign AI Factory,M05,Production go-live / final delivery,2026-12-05,2026-12-05,2026-12-05,0,Maya Fernandes,Forecast On Time,Formal evidence that 'Production go-live / final delivery' has been achieved and approved.,PROJECT_MANAGEMENT_RESTRICTED,True
Milestone,P002,Sovereign AI Factory,M06,Project closure accepted,2026-12-18,2026-12-18,2026-12-18,0,Maya Fernandes,Forecast On Time,Formal evidence that 'Project closure accepted' has been achieved and approved.,PROJECT_MANAGEMENT_RESTRICTED,True
Work Package,P003,Core Banking Modernisation,WP01,Initiation and discovery,2026-01-05,2026-02-13,2026-02-10,1090.9,Amina Amar,Completed,Initiation and discovery deliverables reviewed and accepted by the project governance body.,PROJECT_MANAGEMENT_RESTRICTED,True
Work Package,P003,Core Banking Modernisation,WP02,Architecture and detailed design,2026-01-31,2026-04-07,2026-04-12,1846.1,Amina Amar,Completed,Architecture and detailed design deliverables reviewed and accepted by the project governance body.,PROJECT_MANAGEMENT_RESTRICTED,True
Work Package,P003,Core Banking Modernisation,WP03,Build and configuration,2026-03-18,2026-07-28,2026-08-02,3692.2,Amina Amar,Completed,Build and configuration deliverables reviewed and accepted by the project governance body.,PROJECT_MANAGEMENT_RESTRICTED,True
Work Package,P003,Core Banking Modernisation,WP04,"Data, integration and migration",2026-04-14,2026-08-23,2026-08-28,3664.3,Amina Amar,Completed,"Data, integration and migration deliverables reviewed and accepted by the project governance body.",PROJECT_MANAGEMENT_RESTRICTED,True
Work Package,P003,Core Banking Modernisation,WP05,"Testing, validation and remediation",2026-07-21,2026-10-15,2026-10-12,2405.5,Amina Amar,Completed,"Testing, validation and remediation deliverables reviewed and accepted by the project governance body.",PROJECT_MANAGEMENT_RESTRICTED,True
Work Package,P003,Core Banking Modernisation,WP06,"Deployment, transition and closure",2026-10-02,2026-11-30,2026-11-30,1650.3,Amina Amar,In Progress,"Deployment, transition and closure deliverables reviewed and accepted by the project governance body.",PROJECT_MANAGEMENT_RESTRICTED,True
Work Package,P003,Core Banking Modernisation,WP07,Project management and governance,2026-01-05,2026-11-30,2026-12-02,9202.6,Julien Bernard,In Progress,Project management and governance deliverables reviewed and accepted by the project governance body.,PROJECT_MANAGEMENT_RESTRICTED,True
Milestone,P003,Core Banking Modernisation,M01,Project kickoff,2026-01-12,2026-01-12,2026-01-20,0,Julien Bernard,Completed,Formal evidence that 'Project kickoff' has been achieved and approved.,PROJECT_MANAGEMENT_RESTRICTED,True
Milestone,P003,Core Banking Modernisation,M02,Design baseline approved,2026-03-28,2026-03-28,2026-03-28,0,Julien Bernard,Completed,Formal evidence that 'Design baseline approved' has been achieved and approved.,PROJECT_MANAGEMENT_RESTRICTED,True
Milestone,P003,Core Banking Modernisation,M03,Minimum viable release completed,2026-07-05,2026-07-05,2026-07-13,0,Julien Bernard,Completed,Formal evidence that 'Minimum viable release completed' has been achieved and approved.,PROJECT_MANAGEMENT_RESTRICTED,True
Milestone,P003,Core Banking Modernisation,M04,User acceptance testing completed,2026-10-02,2026-10-02,2026-10-05,0,Julien Bernard,Completed,Formal evidence that 'User acceptance testing completed' has been achieved and approved.,PROJECT_MANAGEMENT_RESTRICTED,True
Milestone,P003,Core Banking Modernisation,M05,Production go-live / final delivery,2026-11-17,2026-11-17,2026-11-15,0,Julien Bernard,Forecast On Time,Formal evidence that 'Production go-live / final delivery' has been achieved and approved.,PROJECT_MANAGEMENT_RESTRICTED,True
Milestone,P003,Core Banking Modernisation,M06,Project closure accepted,2026-11-30,2026-11-30,2026-12-08,0,Julien Bernard,Forecast Late,Formal evidence that 'Project closure accepted' has been achieved and approved.,PROJECT_MANAGEMENT_RESTRICTED,True
Work Package,P004,Smart Mobility Analytics,WP01,Initiation and discovery,2026-03-02,2026-04-06,2026-04-03,796.0,Amina Amar,Completed,Initiation and discovery deliverables reviewed and accepted by the project governance body.,PROJECT_MANAGEMENT_RESTRICTED,True
Work Package,P004,Smart Mobility Analytics,WP02,Architecture and detailed design,2026-03-25,2026-05-22,2026-05-22,1319.1,Amina Amar,Completed,Architecture and detailed design deliverables reviewed and accepted by the project governance body.,PROJECT_MANAGEMENT_RESTRICTED,True
Work Package,P004,Smart Mobility Analytics,WP03,Build and configuration,2026-05-05,2026-08-29,2026-08-29,2638.2,Amina Amar,Completed,Build and configuration deliverables reviewed and accepted by the project governance body.,PROJECT_MANAGEMENT_RESTRICTED,True
Work Package,P004,Smart Mobility Analytics,WP04,"Data, integration and migration",2026-05-28,2026-09-22,2026-09-22,2660.9,Amina Amar,Completed,"Data, integration and migration deliverables reviewed and accepted by the project governance body.",PROJECT_MANAGEMENT_RESTRICTED,True
Work Package,P004,Smart Mobility Analytics,WP05,"Testing, validation and remediation",2026-08-24,2026-11-07,2026-11-07,1705.7,Amina Amar,In Progress,"Testing, validation and remediation deliverables reviewed and accepted by the project governance body.",PROJECT_MANAGEMENT_RESTRICTED,True
Work Package,P004,Smart Mobility Analytics,WP06,"Deployment, transition and closure",2026-10-27,2026-12-18,2026-12-20,1182.6,Amina Amar,Not Started,"Deployment, transition and closure deliverables reviewed and accepted by the project governance body.",PROJECT_MANAGEMENT_RESTRICTED,True
Work Package,P004,Smart Mobility Analytics,WP07,Project management and governance,2026-03-02,2026-12-18,2026-12-23,6618.2,Julien Bernard,In Progress,Project management and governance deliverables reviewed and accepted by the project governance body.,PROJECT_MANAGEMENT_RESTRICTED,True
Milestone,P004,Smart Mobility Analytics,M01,Project kickoff,2026-03-08,2026-03-08,2026-03-06,0,Julien Bernard,Completed,Formal evidence that 'Project kickoff' has been achieved and approved.,PROJECT_MANAGEMENT_RESTRICTED,True
Milestone,P004,Smart Mobility Analytics,M02,Design baseline approved,2026-05-14,2026-05-14,2026-05-17,0,Julien Bernard,Completed,Formal evidence that 'Design baseline approved' has been achieved and approved.,PROJECT_MANAGEMENT_RESTRICTED,True
Milestone,P004,Smart Mobility Analytics,M03,Minimum viable release completed,2026-08-09,2026-08-09,2026-08-09,0,Julien Bernard,Completed,Formal evidence that 'Minimum viable release completed' has been achieved and approved.,PROJECT_MANAGEMENT_RESTRICTED,True
Milestone,P004,Smart Mobility Analytics,M04,User acceptance testing completed,2026-10-27,2026-10-27,2026-10-25,0,Julien Bernard,Forecast On Time,Formal evidence that 'User acceptance testing completed' has been achieved and approved.,PROJECT_MANAGEMENT_RESTRICTED,True
Milestone,P004,Smart Mobility Analytics,M05,Production go-live / final delivery,2026-12-06,2026-12-06,2026-12-14,0,Julien Bernard,Forecast Late,Formal evidence that 'Production go-live / final delivery' has been achieved and approved.,PROJECT_MANAGEMENT_RESTRICTED,True
Milestone,P004,Smart Mobility Analytics,M06,Project closure accepted,2026-12-18,2026-12-18,2026-12-18,0,Julien Bernard,Forecast On Time,Formal evidence that 'Project closure accepted' has been achieved and approved.,PROJECT_MANAGEMENT_RESTRICTED,True
Work Package,P005,Cloud Landing Zone,WP01,Initiation and discovery,2026-01-05,2026-02-03,2026-02-08,699.3,Amina Amar,Completed,Initiation and discovery deliverables reviewed and accepted by the project governance body.,PROJECT_MANAGEMENT_RESTRICTED,True
Work Package,P005,Cloud Landing Zone,WP02,Architecture and detailed design,2026-01-24,2026-03-13,2026-03-13,1157.5,Amina Amar,Completed,Architecture and detailed design deliverables reviewed and accepted by the project governance body.,PROJECT_MANAGEMENT_RESTRICTED,True
Work Package,P005,Cloud Landing Zone,WP03,Build and configuration,2026-02-26,2026-06-02,2026-06-04,2315.0,Amina Amar,Completed,Build and configuration deliverables reviewed and accepted by the project governance body.,PROJECT_MANAGEMENT_RESTRICTED,True
Work Package,P005,Cloud Landing Zone,WP04,"Data, integration and migration",2026-03-17,2026-06-21,2026-06-21,2315.0,Amina Amar,Completed,"Data, integration and migration deliverables reviewed and accepted by the project governance body.",PROJECT_MANAGEMENT_RESTRICTED,True
Work Package,P005,Cloud Landing Zone,WP05,"Testing, validation and remediation",2026-05-28,2026-07-29,2026-07-31,1495.1,Amina Amar,Completed,"Testing, validation and remediation deliverables reviewed and accepted by the project governance body.",PROJECT_MANAGEMENT_RESTRICTED,True
Work Package,P005,Cloud Landing Zone,WP06,"Deployment, transition and closure",2026-07-19,2026-08-31,2026-09-02,1036.9,Amina Amar,In Progress,"Deployment, transition and closure deliverables reviewed and accepted by the project governance body.",PROJECT_MANAGEMENT_RESTRICTED,True
Work Package,P005,Cloud Landing Zone,WP07,Project management and governance,2026-01-05,2026-08-31,2026-08-28,5739.2,Sara Khan,In Progress,Project management and governance deliverables reviewed and accepted by the project governance body.,PROJECT_MANAGEMENT_RESTRICTED,True
Milestone,P005,Cloud Landing Zone,M01,Project kickoff,2026-01-10,2026-01-10,2026-01-13,0,Sara Khan,Completed,Formal evidence that 'Project kickoff' has been achieved and approved.,PROJECT_MANAGEMENT_RESTRICTED,True
Milestone,P005,Cloud Landing Zone,M02,Design baseline approved,2026-03-06,2026-03-06,2026-03-04,0,Sara Khan,Completed,Formal evidence that 'Design baseline approved' has been achieved and approved.,PROJECT_MANAGEMENT_RESTRICTED,True
Milestone,P005,Cloud Landing Zone,M03,Minimum viable release completed,2026-05-16,2026-05-16,2026-05-21,0,Sara Khan,Completed,Formal evidence that 'Minimum viable release completed' has been achieved and approved.,PROJECT_MANAGEMENT_RESTRICTED,True
Milestone,P005,Cloud Landing Zone,M04,User acceptance testing completed,2026-07-19,2026-07-19,2026-07-22,0,Sara Khan,Completed,Formal evidence that 'User acceptance testing completed' has been achieved and approved.,PROJECT_MANAGEMENT_RESTRICTED,True
Milestone,P005,Cloud Landing Zone,M05,Production go-live / final delivery,2026-08-21,2026-08-21,2026-08-21,0,Sara Khan,Forecast On Time,Formal evidence that 'Production go-live / final delivery' has been achieved and approved.,PROJECT_MANAGEMENT_RESTRICTED,True
Milestone,P005,Cloud Landing Zone,M06,Project closure accepted,2026-08-31,2026-08-31,2026-09-08,0,Sara Khan,Forecast Late,Formal evidence that 'Project closure accepted' has been achieved and approved.,PROJECT_MANAGEMENT_RESTRICTED,True
Work Package,P006,AML Data Quality,WP01,Initiation and discovery,2026-02-02,2026-03-06,2026-03-06,479.1,Amina Amar,Completed,Initiation and discovery deliverables reviewed and accepted by the project governance body.,PROJECT_MANAGEMENT_RESTRICTED,True
Work Package,P006,AML Data Quality,WP02,Architecture and detailed design,2026-02-24,2026-04-19,2026-04-16,808.5,Amina Amar,Completed,Architecture and detailed design deliverables reviewed and accepted by the project governance body.,PROJECT_MANAGEMENT_RESTRICTED,True
Work Package,P006,AML Data Quality,WP03,Build and configuration,2026-04-02,2026-07-19,2026-07-24,1616.9,Amina Amar,Completed,Build and configuration deliverables reviewed and accepted by the project governance body.,PROJECT_MANAGEMENT_RESTRICTED,True
Work Package,P006,AML Data Quality,WP04,"Data, integration and migration",2026-04-24,2026-08-10,2026-08-07,1616.9,Amina Amar,Completed,"Data, integration and migration deliverables reviewed and accepted by the project governance body.",PROJECT_MANAGEMENT_RESTRICTED,True
Work Package,P006,AML Data Quality,WP05,"Testing, validation and remediation",2026-07-14,2026-09-22,2026-09-22,1048.0,Amina Amar,Completed,"Testing, validation and remediation deliverables reviewed and accepted by the project governance body.",PROJECT_MANAGEMENT_RESTRICTED,True
Work Package,P006,AML Data Quality,WP06,"Deployment, transition and closure",2026-09-11,2026-10-30,2026-11-04,733.6,Amina Amar,In Progress,"Deployment, transition and closure deliverables reviewed and accepted by the project governance body.",PROJECT_MANAGEMENT_RESTRICTED,True
Work Package,P006,AML Data Quality,WP07,Project management and governance,2026-02-02,2026-10-30,2026-10-27,4042.3,Sara Khan,In Progress,Project management and governance deliverables reviewed and accepted by the project governance body.,PROJECT_MANAGEMENT_RESTRICTED,True
Milestone,P006,AML Data Quality,M01,Project kickoff,2026-02-07,2026-02-07,2026-02-10,0,Sara Khan,Completed,Formal evidence that 'Project kickoff' has been achieved and approved.,PROJECT_MANAGEMENT_RESTRICTED,True
Milestone,P006,AML Data Quality,M02,Design baseline approved,2026-04-11,2026-04-11,2026-04-19,0,Sara Khan,Completed,Formal evidence that 'Design baseline approved' has been achieved and approved.,PROJECT_MANAGEMENT_RESTRICTED,True
Milestone,P006,AML Data Quality,M03,Minimum viable release completed,2026-06-30,2026-06-30,2026-06-30,0,Sara Khan,Completed,Formal evidence that 'Minimum viable release completed' has been achieved and approved.,PROJECT_MANAGEMENT_RESTRICTED,True
Milestone,P006,AML Data Quality,M04,User acceptance testing completed,2026-09-11,2026-09-11,2026-09-09,0,Sara Khan,Completed,Formal evidence that 'User acceptance testing completed' has been achieved and approved.,PROJECT_MANAGEMENT_RESTRICTED,True
Milestone,P006,AML Data Quality,M05,Production go-live / final delivery,2026-10-19,2026-10-19,2026-10-19,0,Sara Khan,Forecast On Time,Formal evidence that 'Production go-live / final delivery' has been achieved and approved.,PROJECT_MANAGEMENT_RESTRICTED,True
Milestone,P006,AML Data Quality,M06,Project closure accepted,2026-10-30,2026-10-30,2026-10-30,0,Sara Khan,Forecast On Time,Formal evidence that 'Project closure accepted' has been achieved and approved.,PROJECT_MANAGEMENT_RESTRICTED,True
Work Package,P007,Cyber Resilience Programme,WP01,Initiation and discovery,2026-01-12,2026-02-22,2026-02-22,1090.6,Amina Amar,Completed,Initiation and discovery deliverables reviewed and accepted by the project governance body.,PROJECT_MANAGEMENT_RESTRICTED,True
Work Package,P007,Cyber Resilience Programme,WP02,Architecture and detailed design,2026-02-08,2026-04-17,2026-04-17,1808.8,Amina Amar,Completed,Architecture and detailed design deliverables reviewed and accepted by the project governance body.,PROJECT_MANAGEMENT_RESTRICTED,True
Work Package,P007,Cyber Resilience Programme,WP03,Build and configuration,2026-03-28,2026-08-11,2026-08-16,3617.6,Amina Amar,Completed,Build and configuration deliverables reviewed and accepted by the project governance body.,PROJECT_MANAGEMENT_RESTRICTED,True
Work Package,P007,Cyber Resilience Programme,WP04,"Data, integration and migration",2026-04-24,2026-09-07,2026-09-07,3617.6,Amina Amar,Completed,"Data, integration and migration deliverables reviewed and accepted by the project governance body.",PROJECT_MANAGEMENT_RESTRICTED,True
Work Package,P007,Cyber Resilience Programme,WP05,"Testing, validation and remediation",2026-08-04,2026-10-31,2026-10-31,2340.8,Amina Amar,Completed,"Testing, validation and remediation deliverables reviewed and accepted by the project governance body.",PROJECT_MANAGEMENT_RESTRICTED,True
Work Package,P007,Cyber Resilience Programme,WP06,"Deployment, transition and closure",2026-10-18,2026-12-18,2026-12-15,1622.6,Amina Amar,In Progress,"Deployment, transition and closure deliverables reviewed and accepted by the project governance body.",PROJECT_MANAGEMENT_RESTRICTED,True
Work Package,P007,Cyber Resilience Programme,WP07,Project management and governance,2026-01-12,2026-12-18,2026-12-18,9044.0,Nicolas Wagner,In Progress,Project management and governance deliverables reviewed and accepted by the project governance body.,PROJECT_MANAGEMENT_RESTRICTED,True
Milestone,P007,Cyber Resilience Programme,M01,Project kickoff,2026-01-19,2026-01-19,2026-01-24,0,Nicolas Wagner,Completed,Formal evidence that 'Project kickoff' has been achieved and approved.,PROJECT_MANAGEMENT_RESTRICTED,True
Milestone,P007,Cyber Resilience Programme,M02,Design baseline approved,2026-04-07,2026-04-07,2026-04-05,0,Nicolas Wagner,Completed,Formal evidence that 'Design baseline approved' has been achieved and approved.,PROJECT_MANAGEMENT_RESTRICTED,True
Milestone,P007,Cyber Resilience Programme,M03,Minimum viable release completed,2026-07-18,2026-07-18,2026-07-18,0,Nicolas Wagner,Completed,Formal evidence that 'Minimum viable release completed' has been achieved and approved.,PROJECT_MANAGEMENT_RESTRICTED,True
Milestone,P007,Cyber Resilience Programme,M04,User acceptance testing completed,2026-10-18,2026-10-18,2026-10-18,0,Nicolas Wagner,Completed,Formal evidence that 'User acceptance testing completed' has been achieved and approved.,PROJECT_MANAGEMENT_RESTRICTED,True
Milestone,P007,Cyber Resilience Programme,M05,Production go-live / final delivery,2026-12-04,2026-12-04,2026-12-12,0,Nicolas Wagner,Forecast Late,Formal evidence that 'Production go-live / final delivery' has been achieved and approved.,PROJECT_MANAGEMENT_RESTRICTED,True
Milestone,P007,Cyber Resilience Programme,M06,Project closure accepted,2026-12-18,2026-12-18,2026-12-26,0,Nicolas Wagner,Forecast Late,Formal evidence that 'Project closure accepted' has been achieved and approved.,PROJECT_MANAGEMENT_RESTRICTED,True
Work Package,P008,Customer 360 Platform,WP01,Initiation and discovery,2026-04-06,2026-05-07,2026-05-07,446.4,Amina Amar,Completed,Initiation and discovery deliverables reviewed and accepted by the project governance body.,PROJECT_MANAGEMENT_RESTRICTED,True
Work Package,P008,Customer 360 Platform,WP02,Architecture and detailed design,2026-04-26,2026-06-17,2026-06-17,748.8,Amina Amar,Completed,Architecture and detailed design deliverables reviewed and accepted by the project governance body.,PROJECT_MANAGEMENT_RESTRICTED,True
Work Package,P008,Customer 360 Platform,WP03,Build and configuration,2026-06-01,2026-09-12,2026-09-17,1483.2,Amina Amar,Completed,Build and configuration deliverables reviewed and accepted by the project governance body.,PROJECT_MANAGEMENT_RESTRICTED,True
Work Package,P008,Customer 360 Platform,WP04,"Data, integration and migration",2026-06-22,2026-10-02,2026-10-07,1468.8,Amina Amar,Completed,"Data, integration and migration deliverables reviewed and accepted by the project governance body.",PROJECT_MANAGEMENT_RESTRICTED,True
Work Package,P008,Customer 360 Platform,WP05,"Testing, validation and remediation",2026-09-07,2026-11-12,2026-11-09,950.4,Amina Amar,In Progress,"Testing, validation and remediation deliverables reviewed and accepted by the project governance body.",PROJECT_MANAGEMENT_RESTRICTED,True
Work Package,P008,Customer 360 Platform,WP06,"Deployment, transition and closure",2026-11-02,2026-12-18,2026-12-20,662.4,Amina Amar,Not Started,"Deployment, transition and closure deliverables reviewed and accepted by the project governance body.",PROJECT_MANAGEMENT_RESTRICTED,True
Work Package,P008,Customer 360 Platform,WP07,Project management and governance,2026-04-06,2026-12-18,2026-12-18,3686.4,Nicolas Wagner,In Progress,Project management and governance deliverables reviewed and accepted by the project governance body.,PROJECT_MANAGEMENT_RESTRICTED,True
Milestone,P008,Customer 360 Platform,M01,Project kickoff,2026-04-11,2026-04-11,2026-04-09,0,Nicolas Wagner,Completed,Formal evidence that 'Project kickoff' has been achieved and approved.,PROJECT_MANAGEMENT_RESTRICTED,True
Milestone,P008,Customer 360 Platform,M02,Design baseline approved,2026-06-09,2026-06-09,2026-06-09,0,Nicolas Wagner,Completed,Formal evidence that 'Design baseline approved' has been achieved and approved.,PROJECT_MANAGEMENT_RESTRICTED,True
Milestone,P008,Customer 360 Platform,M03,Minimum viable release completed,2026-08-25,2026-08-25,2026-08-23,0,Nicolas Wagner,Completed,Formal evidence that 'Minimum viable release completed' has been achieved and approved.,PROJECT_MANAGEMENT_RESTRICTED,True
Milestone,P008,Customer 360 Platform,M04,User acceptance testing completed,2026-11-02,2026-11-02,2026-11-10,0,Nicolas Wagner,Forecast Late,Formal evidence that 'User acceptance testing completed' has been achieved and approved.,PROJECT_MANAGEMENT_RESTRICTED,True
Milestone,P008,Customer 360 Platform,M05,Production go-live / final delivery,2026-12-08,2026-12-08,2026-12-08,0,Nicolas Wagner,Forecast On Time,Formal evidence that 'Production go-live / final delivery' has been achieved and approved.,PROJECT_MANAGEMENT_RESTRICTED,True
Milestone,P008,Customer 360 Platform,M06,Project closure accepted,2026-12-18,2026-12-18,2026-12-26,0,Nicolas Wagner,Forecast Late,Formal evidence that 'Project closure accepted' has been achieved and approved.,PROJECT_MANAGEMENT_RESTRICTED,True
Work Package,P009,ERP Integration,WP01,Initiation and discovery,2026-01-05,2026-02-06,2026-02-06,506.5,Amina Amar,Completed,Initiation and discovery deliverables reviewed and accepted by the project governance body.,PROJECT_MANAGEMENT_RESTRICTED,True
Work Package,P009,ERP Integration,WP02,Architecture and detailed design,2026-01-26,2026-03-21,2026-03-18,854.7,Amina Amar,Completed,Architecture and detailed design deliverables reviewed and accepted by the project governance body.,PROJECT_MANAGEMENT_RESTRICTED,True
Work Package,P009,ERP Integration,WP03,Build and configuration,2026-03-05,2026-06-20,2026-06-25,1693.7,Amina Amar,Completed,Build and configuration deliverables reviewed and accepted by the project governance body.,PROJECT_MANAGEMENT_RESTRICTED,True
Work Package,P009,ERP Integration,WP04,"Data, integration and migration",2026-03-26,2026-07-12,2026-07-12,1709.5,Amina Amar,Completed,"Data, integration and migration deliverables reviewed and accepted by the project governance body.",PROJECT_MANAGEMENT_RESTRICTED,True
Work Package,P009,ERP Integration,WP05,"Testing, validation and remediation",2026-06-15,2026-08-23,2026-08-23,1092.2,Amina Amar,Completed,"Testing, validation and remediation deliverables reviewed and accepted by the project governance body.",PROJECT_MANAGEMENT_RESTRICTED,True
Work Package,P009,ERP Integration,WP06,"Deployment, transition and closure",2026-08-13,2026-09-30,2026-09-30,759.8,Amina Amar,In Progress,"Deployment, transition and closure deliverables reviewed and accepted by the project governance body.",PROJECT_MANAGEMENT_RESTRICTED,True
Work Package,P009,ERP Integration,WP07,Project management and governance,2026-01-05,2026-09-30,2026-09-30,4242.1,Maya Fernandes,In Progress,Project management and governance deliverables reviewed and accepted by the project governance body.,PROJECT_MANAGEMENT_RESTRICTED,True
Milestone,P009,ERP Integration,M01,Project kickoff,2026-01-10,2026-01-10,2026-01-15,0,Maya Fernandes,Completed,Formal evidence that 'Project kickoff' has been achieved and approved.,PROJECT_MANAGEMENT_RESTRICTED,True
Milestone,P009,ERP Integration,M02,Design baseline approved,2026-03-13,2026-03-13,2026-03-21,0,Maya Fernandes,Completed,Formal evidence that 'Design baseline approved' has been achieved and approved.,PROJECT_MANAGEMENT_RESTRICTED,True
